Indonesia,Inggris,Korea
Tipe Jaminan Fasilitas,Facility Collateral Type,시설 담보 유형
Pilih Tipe Jaminan Fasilitas,Select Facility Collateral Type,시설 담보 유형을 선택하세요
Tipe Dokumen Jaminan,Collateral Document Type,담보 서류 유형
Pilih Tipe Dokumen Jaminan,Select Collateral Document Type,담보 서류 유형을 선택하세요
Kepemilikan Jaminan Fasilitas,Facility Collateral Ownership,시설 담보 소유권
Data Kepemilikan Jaminan,Collateral Ownership Data,담보 소유 정보
Nomor Identitas Kepemilikan Jaminan,Collateral Ownership Identification Number,담보 소유자 신분증 번호
Masukkan Nomor Identitas Kepemilikan Jaminan,Enter Collateral Ownership Identification Number,담보 소유자 신분증 번호를 입력하세요
Nama Kepemilikan Jaminan,Collateral Owner Name,담보 소유자 이름
Masukkan Nama Kepemilikan Jaminan,Enter Collateral Owner Name,담보 소유자 이름을 입력하세요
Objek Jaminan,Collateral Object,담보 대상
Masukkan Objek Jaminan,Enter Collateral Object,담보 대상을 입력하세요
Draft Pengajuan,Application Draft,신청 초안
Pengajuan Baru,New Application,신규 신청
Alamat KTP,ID Card Address,신분증 주소
Kode Pos,ZIP Code,우편번호
Tanggal devias,Deviation date,일탈일자
Deviasi oleh,Deviation by,일탈자
Produk Credit,Credit product,여신상품
Platfon credit,Credit limit,여신한도
Jenis bunga,Interest type,금리 유형
Proses akad kredit,Loan Agreement Process,대출 약정 절차
Data Tambahan,Additional Data,추가 데이터
Tanggal sk direksi,Board of Directors Decree Date,이사회 결의서 날짜
Pasal untuk addendum,Article for addendum,부속합의서 조항
Masukkan pasal untuk addendum,Enter article for addendum,부속합의서 조항 입력
Ayat untuk addendum,Paragraph for addendum,부속합의서 항
Masukkan ayat untuk addendum,Enter paragraph for addendum,부속합의서 항 입력
Bunyi ayat,Paragraph content,조항 내용
Masukkan bunyi ayat,Enter paragraph content,조항 내용 입력
Domisili kantor panitera pengadilan negeri,Domicile of the District Court Registrar's Office,지방법원 서기관 사무실 소재지
Nomor sk direksi,Board of Directors Decree Number,이사회 결정 번호
Masukkan domisili kantor panitera pengadilan negeri,Enter the Domicile of the District Court Registrar's Office,지방법원 서기관 사무실 소재지를 입력하세요
Masukkan nomor sk direksi,Enter the Board of Directors Decree Number,이사회 결정 번호를 입력하세요
Biaya perolehan,Acquisition Cost,취득 비용
Masukkan biaya perolehan,Enter the Acquisition Cost,취득 비용을 입력하세요
Tipe bunga,Interest type,이자 유형
Pilih tipe bunga,Select interest type,이자 유형을 선택하세요
Masa tenggang pokok,Principal Grace Period,원금 거치 기간
Masukkan masa tenggang pokok,Enter principak grace period,원금 거치 기간을 입력하세요
Masa tunda bunga,Interest grace period,이자 거치 기간
Masukkan masa tunda bunga,Enter interest grace period,이자 거치 기간을 입력하세요
Distr. Tunda bunga,Interest Grace Period Distribution,이자 거치 기간 분배
Masukkan distr. Tunda bunga,Enter interest grace period distribution,이자 거치 기간 분배를 입력하세요
Pembayaran via,Payment method,결제 방법
Pilih pembayaran via,Select payment method,결제 방법을 선택하세요
Tanggal pembayaran,Payment date,지급일
Masukkan tanggal pembayaran,Enter payment date,지급일을 입력하세요
Tanggal pemblokiran afiliasi,Affiliate Blocking Date,제휴 차단일
Masukkan tanggal pemblokiran afiliasi,Enter affiliate blocking date,제휴 차단일을 입력하세요
Menggunakan asuransi,Use insurance,보험 사용
Pilih menggunakan asuransi,Pilih menggunakan asuransi,보험 사용 여부를 선택하세요
Catatan,note,비고
Masukkan catatan,Enter note,비고를 입력하세요
referal,referral,추천 경로
Masukkan referal,Enter referral,추천 경로를 선택하세요
Status sindikasi,Syndication status,신디케이션 상태
Peran sindikasi,Syndication role,신디케이션 역할
Pilih peran sindikasi,Select syndication role,
Data asuransi,Insurance information,보험 정보
Premi,Premi,보험료
Perusahaan asuransi,Insurance company,보험회사
Contact person,Contact person,담당자
Tanggal jatuh tempo,Due Date,만기일
Tambah asuransi,Add insurance,보험 추가
Id fasilitas,Facility id,시설 ID
Asuransi,Insurance,보험
Nomor polis,Police number,보험증권 번호
Vendor,Vendor,공급업체
Data pencairan kredit,Loan Disbursement Information,대출 실행 정보
cif,cif,cif
Metode pencairan,Disbursement Method,대출 실행 방식
Masukkan cif,Enter cif,CIF를 입력하세요
Masukkan jatuh tempo,Enter due date,납부 기한일을 입력하세요
Jenis perjanjian kredit,Credit agreement type,대출 약정 유형
Pilih jenis perjanjian kredit,Select credit agreement type,대출 약정 유형을 선택하세요
No rekening afiliasi,Affiliate account number,제휴 계좌 번호
Pilih no rekening afiliasi,Select affiliate account number,제휴 계좌 번호를 선택하세요
No rekening,Account number,계좌 번호
No. pk,Credit agreement number,대출 약정 번호
Masukkan no. pk,Enter credit agreement number,대출 약정 번호를 입력하세요
No. SPPK,Credit Approval Letter Number,대출 승인서 번호
Upload dokumen,Upload document,문서 업로드
Data pencairan,Disbursement information,실행 정보
Biaya-biaya,Fee / costs,수수료 / 비용
Keterangan biaya,Fee description,수수료 설명
Persen,Percent,퍼센트
Nominal biaya,Fee amount,수수료 금액
persentase,percentage,백분율
Data akad kredit,Credit agreement information,대출 약정 정보
Data debitur,Data debitur,차주 정보
Alamat domisili,Residential address,거주지 주소
Nama panggilan,Nickname,별명
Pihak terkaitd,Relate parties,관련 당사자
data pasangan,Spouse information,배우자 정보
Jumlah tanggungan anak,Number of dependent children,부양 자녀 수
Alamat sesuai ktp,Address as per id card,신분증 기재 주소
Data kerabat,Relative information,친족 정보
Hubungan,Relationship,관계
Pensiun bulan ke,Retirement month,퇴직 월
Pendapatan gaji bersih debitur,Borrower's Net Salary Income,차주의 순급여 소득
Potongan gaji bersih debitur,Borrower's Net Salary Deductions,차주의 순급여 공제액
Dokumen cheklist,Document checklist,문서 체크리스트
Terunggah,Uploaded,업로드됨
Tipe dokumen,Document Type,문서 유형
Diunggah oleh,Uploaded By,업로드한 사람
Tanggal unggah,Upload date,업로드 날짜
Fasilitas kredit existing internal,Existing internal credit fasility,기존 내부 신용 한도
reverse,reverse,역처리
Jenis kredit yang dibutuhkan,Required credit type,필요한 신용 유형
Plafon kredit yang diminta,Requested credit limit,신청 신용 한도
Produk kredit yang dibutuhkan,Required Credit Produk,필요한 신용 상품
Kredit selesai pada umur,Loan maturity age,대출 만기 연령
Total penghasilan keluarga - angsuran kredit,Total family income - loan installment,가족 총소득 - 대출 상환액
Nomor rekening gaji untuk pembayaran,Salary Account Number for Payment,지급용 급여 계좌 번호
Gaji suami/istri,Spouse's salary,배우자 급여
Angsuran pinjaman,Loan installment,대출 상환액
Tunjangan tkd suami/istri,Spouse's tkd allowance,배우자 TKD 수당
Total penghasilan,Total income,총소득
Total penghasilan suami/istri,Spouse's Total Income,배우자 총소득
Total penghasilan keseluruhan,Total overall income,총 전체 소득
Disposisi,Disposition,처리 지시
Review Hasil Upload,Review Upload Results,업로드 결과 검토
